,Titile,Price,redPrice,yellowPrice,bluePrice,brandName,category,swatchesTotal,sellingAttribute,link
64,Double-breasted Coat,$74.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1115460001.html
65,90s Baggy High Jeans,$35.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1126815001.html
66,Single-breasted Coat,$69.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1140504002.html
67,Wide-leg Joggers,$24.99 ,,,,H&M,ladies_nightwear_loungewear,3,New Arrival,https://www2.hm.com/en_us/productpage.1005176011.html
68,Oversized Printed Sweatshirt,$34.99 ,,,,H&M,ladies_divided_hoodiessweatshirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1127637003.html
69,Printed Sweatshirt,$29.99 ,,,,H&M,ladies_licence,2,New Arrival,https://www2.hm.com/en_us/productpage.1096931007.html
70,Hoodie,$19.99 ,,,,H&M,ladies_basics_tops_longsleeve,8,New Arrival,https://www2.hm.com/en_us/productpage.0456163139.html
71,Cotton Poplin Shirt,$24.99 ,,,,H&M,ladies_shirtsblouses_shirts,5,New Arrival,https://www2.hm.com/en_us/productpage.1126542003.html
72,Tie-belt shirt dress,$39.99 ,,,,H&M,ladies_dresses_mididresses,2,New Arrival,https://www2.hm.com/en_us/productpage.1129134002.html
73,Wide Ultra High Jeans,$29.99 ,,,,H&M,ladies_jeans_ripped,2,New Arrival,https://www2.hm.com/en_us/productpage.1067430018.html
74,Ruffle-trimmed Blouse,$24.99 ,,,,H&M,ladies_shirtsblouses_blouses,3,New Arrival,https://www2.hm.com/en_us/productpage.1126854004.html
75,Canvas Cargo Pants,$24.99 ,,,,H&M,ladies_trousers_cargo,4,New Arrival,https://www2.hm.com/en_us/productpage.1083344020.html
76,Pleated Tie-belt Dress,$64.99 ,,,,H&M,ladies_dresses_longsleevedress,3,New Arrival,https://www2.hm.com/en_us/productpage.1123132003.html
77,Puff-sleeved Embroidered Blouse,$34.99 ,,,,H&M,ladies_shirtsblouses_blouses,1,New Arrival,https://www2.hm.com/en_us/productpage.1153870001.html
78,Wide-leg Twill Pants,$19.99 ,,,,H&M,ladies_trousers_highwaisted,4,New Arrival,https://www2.hm.com/en_us/productpage.1107360005.html
79,Gathered-sleeve Jacket,$49.99 ,,,,H&M,ladies_blazers,3,New Arrival,https://www2.hm.com/en_us/productpage.1036121012.html
